kernel_str,learned_kernel,mse,lml,std,R2_tr,R2,R2_test
"WhiteKernel(noise_level=1) * ExpSineSquared(length_scale=1, periodicity=1) + 1**2 + RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) * ExpSineSquared(length_scale=6.04, periodicity=139) + 0.878**2 + RationalQuadratic(alpha=1e+05, length_scale=31.2)",26.4728,289.9130,5.1452,0.9998,0.6257,-0.7103
"WhiteKernel(noise_level=1) + 1**2 * DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + 0.00316**2 * DotProduct(sigma_0=214) + RationalQuadratic(alpha=1e+05, length_scale=31.3)",26.5154,289.9282,5.1493,0.9998,0.3878,-1.7981
1**2 + WhiteKernel(noise_level=1) * RBF(length_scale=1) * DotProduct(sigma_0=1),1.06**2 + WhiteKernel(noise_level=1e-05) * RBF(length_scale=27.8) * DotProduct(sigma_0=78.9),125655.6844,-124.6017,354.4795,-0.0244,-0.0148,-0.0001
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=2.35e+03) * ExpSineSquared(length_scale=8.45e+03, periodicity=0.000525) + WhiteKernel(noise_level=1e-05) * RationalQuadratic(alpha=0.000427, length_scale=0.000739)",23.0573,300.6162,4.8018,0.9998,0.9998,0.9998
"1**2 * WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1e-05, length_scale=1e+05) + ExpSineSquared(length_scale=4.7, periodicity=78.6)",23.6119,315.0561,4.8592,0.9998,0.9998,0.9998
"ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1) * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=4.7, periodicity=78.6) + RationalQuadratic(alpha=5.47e+04, length_scale=410) * WhiteKernel(noise_level=1e-05)",23.6185,315.0345,4.8599,0.9998,0.9998,0.9998
1**2 * WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) * RBF(length_scale=1),0.00316**2 * WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=0.986) * RBF(length_scale=66),53.9298,265.4986,7.3437,0.9996,0.1394,-2.9328
"DotProduct(sigma_0=1) + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1)","DotProduct(sigma_0=1.15) + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=0.106)",115273.2917,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"WhiteKernel(noise_level=1) * 1**2 + RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1)","WhiteKernel(noise_level=1e-05) * 0.00316**2 + RationalQuadratic(alpha=1e+05, length_scale=31.5) + DotProduct(sigma_0=1e-05)",28.7599,285.4436,5.3628,0.9998,-0.5984,-6.3069
"WhiteKernel(noise_level=1) * RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1)","WhiteKernel(noise_level=1e-05) * RBF(length_scale=1) + ExpSineSquared(length_scale=4.7, periodicity=0.987) + DotProduct(sigma_0=0.745)",23.4038,305.7570,4.8377,0.9998,0.9998,0.9998
"RBF(length_scale=1) + WhiteKernel(noise_level=1) * ExpSineSquared(length_scale=1, periodicity=1) * DotProduct(sigma_0=1)","RBF(length_scale=30.1) + WhiteKernel(noise_level=1e-05) * ExpSineSquared(length_scale=0.000161, periodicity=7.36e+03) * DotProduct(sigma_0=1e-05)",1577.6406,8.0832,39.7195,0.9871,0.8146,0.1979
"WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=31.7, periodicity=0.0015) + RBF(length_scale=30.1)",1577.6405,8.0832,39.7195,0.9871,0.8146,0.1979
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=4.7, periodicity=0.00633) + WhiteKernel(noise_level=1e-05) * RationalQuadratic(alpha=1.72e-05, length_scale=0.00328)",23.6185,315.0345,4.8599,0.9998,0.9998,0.9998
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + RBF(length_scale=1) * 1**2,DotProduct(sigma_0=0.000449) + WhiteKernel(noise_level=1e-05) + RBF(length_scale=31.3) * 0.975**2,28.5914,285.3326,5.3471,0.9998,-0.5823,-6.2334
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=4.7, periodicity=78.6) * RBF(length_scale=1e+05) + DotProduct(sigma_0=2.56e-05) + WhiteKernel(noise_level=1e-05)",23.3991,305.7939,4.8373,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) * 1**2 + ExpSineSquared(length_scale=1, periodicity=1)","WhiteKernel(noise_level=1e-05) * 0.00316**2 + ExpSineSquared(length_scale=1.55, periodicity=1.01)",24.0244,304.0462,4.9015,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) * RBF(length_scale=1) + 1**2 * ExpSineSquared(length_scale=1, periodicity=1)","WhiteKernel(noise_level=1e-05) * RBF(length_scale=1) + 3.8**2 * ExpSineSquared(length_scale=14.9, periodicity=0.987)",23.3795,316.0595,4.8352,0.9998,0.9998,0.9998
"1**2 * WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=1.55, periodicity=0.994)",24.0267,303.9306,4.9017,0.9998,0.9998,0.9998
1**2 + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) * WhiteKernel(noise_level=1),1.15**2 + DotProduct(sigma_0=1e-05) + WhiteKernel(noise_level=0.412) * WhiteKernel(noise_level=0.258),115273.2915,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1) + RBF(length_scale=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=4.68e+04, periodicity=0.000385) * WhiteKernel(noise_level=1e-05) + RBF(length_scale=30.1)",1577.6406,8.0832,39.7195,0.9871,0.8146,0.1979
DotProduct(sigma_0=1) * RBF(length_scale=1) * 1**2 + WhiteKernel(noise_level=1),DotProduct(sigma_0=363) * RBF(length_scale=33.2) * 0.00316**2 + WhiteKernel(noise_level=1e-05),27.5972,289.3666,5.2533,0.9998,0.8575,0.3495
RBF(length_scale=1) + 1**2 * WhiteKernel(noise_level=1) * DotProduct(sigma_0=1),RBF(length_scale=31.4) + 0.00316**2 * WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05),28.4311,289.1313,5.3321,0.9998,0.9451,0.7496
"WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1) * 1**2","WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=7.66e+04, length_scale=31.3) + DotProduct(sigma_0=214) * 0.00316**2",26.5149,289.9282,5.1493,0.9998,0.3878,-1.7982
RBF(length_scale=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) * 1**2,RBF(length_scale=31.5) + DotProduct(sigma_0=1.35e-05) + WhiteKernel(noise_level=1e-05) * 0.00316**2,28.7600,285.4438,5.3628,0.9998,-0.5984,-6.3068
"RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * 1**2 * WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e+05, length_scale=31.4) + ExpSineSquared(length_scale=8.64e-05, periodicity=8.42) * 0.00316**2 * WhiteKernel(noise_level=1e-05)",28.4282,289.1530,5.3318,0.9998,0.9450,0.7495
"WhiteKernel(noise_level=1) * ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1) + RBF(length_scale=1)","WhiteKernel(noise_level=1e-05) * ExpSineSquared(length_scale=3.03e+03, periodicity=3.38e-05) + DotProduct(sigma_0=0.000982) + RBF(length_scale=31.5)",28.7649,285.3302,5.3633,0.9998,-0.5984,-6.3071
1**2 + WhiteKernel(noise_level=1) * WhiteKernel(noise_level=1) * DotProduct(sigma_0=1),1**2 + WhiteKernel(noise_level=1e-05) * WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=3.36e+04),122659.6750,-93.0337,350.2280,-0.0000,-0.0011,-0.0244
"RBF(length_scale=1) * DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=1.76e+04) * DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.2, periodicity=0.987)",41.9001,24.3727,6.4730,0.9997,0.9996,0.9996
WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) * 1**2 * WhiteKernel(noise_level=1),WhiteKernel(noise_level=1.12) + DotProduct(sigma_0=0.495) * 0.00316**2 * WhiteKernel(noise_level=1e-05),1125085.5382,-354.6884,1060.7005,-8.1724,-8.1218,-8.1166
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1)","DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=3.07e+03, periodicity=0.0714) * RBF(length_scale=31.5) + WhiteKernel(noise_level=1e-05)",28.7649,285.3302,5.3633,0.9998,-0.5984,-6.3071
"DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1) * 1**2","DotProduct(sigma_0=1e-05) + WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=31.3) * 0.975**2",28.5913,285.3325,5.3471,0.9998,-0.5823,-6.2335
"ExpSineSquared(length_scale=1, periodicity=1) * 1**2 + RBF(length_scale=1) * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=14.9, periodicity=0.987) * 3.8**2 + RBF(length_scale=1) * WhiteKernel(noise_level=1e-05)",23.3795,316.0595,4.8352,0.9998,0.9998,0.9998
DotProduct(sigma_0=1) + 1**2 * WhiteKernel(noise_level=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=1.15) + 0.189**2 * WhiteKernel(noise_level=0.0907) * WhiteKernel(noise_level=32.9),115273.2915,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1) + 1**2 * WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e+05, length_scale=31.5) + DotProduct(sigma_0=1e-05) + 0.00316**2 * WhiteKernel(noise_level=1e-05)",28.7598,285.4436,5.3628,0.9998,-0.5984,-6.3069
"WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1) * 1**2","WhiteKernel(noise_level=1.11) + ExpSineSquared(length_scale=18.5, periodicity=0.0238) * WhiteKernel(noise_level=1.15) * 0.0173**2",1125085.5382,-354.6883,1060.7005,-8.1724,-8.1218,-8.1166
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) * WhiteKernel(noise_level=1) * 1**2","ExpSineSquared(length_scale=4.71, periodicity=0.987) + WhiteKernel(noise_level=1e-05) * WhiteKernel(noise_level=1e-05) * 0.00316**2",23.6177,315.1517,4.8598,0.9998,0.9998,0.9998
"1**2 + RBF(length_scale=1) * WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","0.861**2 + RBF(length_scale=1) * WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.7, periodicity=0.987)",23.6171,314.9757,4.8597,0.9998,0.9998,0.9998
"ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1) * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=4.2, periodicity=78.6) * RationalQuadratic(alpha=0.0249, length_scale=1e+05) + DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05)",41.8999,24.3723,6.4730,0.9997,0.9996,0.9996
"WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=2.12e+03) * ExpSineSquared(length_scale=7.35e+03, periodicity=0.143) + WhiteKernel(noise_level=1e-05)",23.0497,300.5125,4.8010,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) * ExpSineSquared(length_scale=1, periodicity=1) * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)","WhiteKernel(noise_level=1e-05) * ExpSineSquared(length_scale=0.000183, periodicity=0.212) * DotProduct(sigma_0=1e-05) + WhiteKernel(noise_level=1.01)",1125085.5382,-358.1501,1060.7005,-8.1724,-8.1218,-8.1166
"ExpSineSquared(length_scale=1, periodicity=1) + 1**2 + WhiteKernel(noise_level=1) * DotProduct(sigma_0=1)","ExpSineSquared(length_scale=0.861, periodicity=0.996) + 0.925**2 + WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=0.299)",401.4888,10.8262,20.0372,0.9967,0.9974,0.9996
"ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=4.7, periodicity=0.987) + RationalQuadratic(alpha=0.00246, length_scale=1e+05) * DotProduct(sigma_0=0.00176) + WhiteKernel(noise_level=1e-05)",23.3962,303.9010,4.8370,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) * 1**2 + RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1)","WhiteKernel(noise_level=1e-05) * 0.00316**2 + RationalQuadratic(alpha=0.0568, length_scale=1e+05) + ExpSineSquared(length_scale=0.925, periodicity=1)",24.0940,293.5247,4.9086,0.9998,0.9998,0.9997
1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1) * DotProduct(sigma_0=1),1.05**2 * RBF(length_scale=30.5) + WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05),1477.3075,8.0950,38.4358,0.9880,0.8437,0.3283
"DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1)","DotProduct(sigma_0=1.15) + WhiteKernel(noise_level=0.0499) + ExpSineSquared(length_scale=7.8, periodicity=2.35e+04) * WhiteKernel(noise_level=0.0563)",115273.2916,-93.8060,339.5192,0.0602,-0.0203,-0.3260
RBF(length_scale=1) * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + 1**2,RBF(length_scale=66) * DotProduct(sigma_0=1e-05) + WhiteKernel(noise_level=1e-05) + 0.986**2,54.0411,265.3872,7.3513,0.9996,0.1315,-2.9691
"WhiteKernel(noise_level=1) * RBF(length_scale=1) * 1**2 + ExpSineSquared(length_scale=1, periodicity=1)","WhiteKernel(noise_level=1e-05) * RBF(length_scale=1) * 0.00316**2 + ExpSineSquared(length_scale=1.55, periodicity=1.01)",24.0244,304.0462,4.9015,0.9998,0.9998,0.9998
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=0.00146, periodicity=285) * WhiteKernel(noise_level=1e-05) + RationalQuadratic(alpha=1e+05, length_scale=30.1)",1577.6558,8.0831,39.7197,0.9871,0.8146,0.1979
"WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1)","WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=4.2, periodicity=0.0145)",41.9062,24.3512,6.4735,0.9997,0.9996,0.9996
"RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e+05, length_scale=30.1) + DotProduct(sigma_0=5.18e-05) * ExpSineSquared(length_scale=8.7e+03, periodicity=123) * WhiteKernel(noise_level=1e-05)",1577.6557,8.0831,39.7197,0.9871,0.8146,0.1979
"ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1) * WhiteKernel(noise_level=1) * DotProduct(sigma_0=1)","ExpSineSquared(length_scale=4.2, periodicity=0.0147) + RationalQuadratic(alpha=1.65e+04, length_scale=0.0494) * WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=0.141)",41.9003,24.3723,6.4730,0.9997,0.9996,0.9996
WhiteKernel(noise_level=1) + RBF(length_scale=1) + DotProduct(sigma_0=1) * 1**2,WhiteKernel(noise_level=1e-05) + RBF(length_scale=31.3) + DotProduct(sigma_0=214) * 0.00316**2,26.5151,289.9284,5.1493,0.9998,0.3878,-1.7981
"RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + 1**2 * WhiteKernel(noise_level=1)","RationalQuadratic(alpha=3.11e+04, length_scale=5.57e+03) + ExpSineSquared(length_scale=4.43, periodicity=0.000631) + 0.572**2 * WhiteKernel(noise_level=1e-05)",23.3332,314.2550,4.8304,0.9998,0.9998,0.9998
"ExpSineSquared(length_scale=1, periodicity=1) * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=6.29e+03, periodicity=0.125) * DotProduct(sigma_0=1.81e+03) + WhiteKernel(noise_level=1e-05) + WhiteKernel(noise_level=0.000365)",23.0906,296.4202,4.8053,0.9998,0.9998,0.9998
"DotProduct(sigma_0=1) * RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","DotProduct(sigma_0=0.0227) * RBF(length_scale=1e+05) + ExpSineSquared(length_scale=4.69, periodicity=1.01) + WhiteKernel(noise_level=1e-05)",23.3929,303.9032,4.8366,0.9998,0.9998,0.9998
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) * 1**2 * WhiteKernel(noise_level=1),DotProduct(sigma_0=1.15) + WhiteKernel(noise_level=1.21e+03) * 0.00822**2 * WhiteKernel(noise_level=1.3),115273.2916,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"WhiteKernel(noise_level=1) * ExpSineSquared(length_scale=1, periodicity=1) * DotProduct(sigma_0=1) + 1**2","WhiteKernel(noise_level=1.67e-05) * ExpSineSquared(length_scale=1, periodicity=1) * DotProduct(sigma_0=57.7) + 1.02**2",128506.2362,-144.4275,358.4777,-0.0477,-0.0334,-0.0026
"1**2 * ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","3.8**2 * ExpSineSquared(length_scale=14.9, periodicity=0.111) + WhiteKernel(noise_level=1e-05)",23.3795,316.0595,4.8352,0.9998,0.9998,0.9998
"ExpSineSquared(length_scale=1, periodicity=1) * 1**2 + WhiteKernel(noise_level=1) + RBF(length_scale=1)","ExpSineSquared(length_scale=15.8, periodicity=78.6) * 4.05**2 + WhiteKernel(noise_level=1e-05) + RBF(length_scale=1e+05)",23.3676,316.0247,4.8340,0.9998,0.9998,0.9998
"RationalQuadratic(alpha=1, length_scale=1) + 1**2 * WhiteKernel(noise_level=1) * DotProduct(sigma_0=1)","RationalQuadratic(alpha=1e+05, length_scale=31.4) + 0.00316**2 * WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=9.68e-05)",28.4310,289.1311,5.3321,0.9998,0.9450,0.7496
WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) * 1**2 + RBF(length_scale=1),WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05) * 0.00316**2 + RBF(length_scale=31.4),28.4311,289.1313,5.3321,0.9998,0.9451,0.7496
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) * RBF(length_scale=1) * 1**2","ExpSineSquared(length_scale=4.71, periodicity=78.6) + WhiteKernel(noise_level=1e-05) * RBF(length_scale=2.22e-05) * 0.00316**2",23.6177,315.1517,4.8598,0.9998,0.9998,0.9998
"ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=4.7, periodicity=0.987) + DotProduct(sigma_0=0.206) + WhiteKernel(noise_level=1e-05) * WhiteKernel(noise_level=1e-05)",23.3985,305.9114,4.8372,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) * ExpSineSquared(length_scale=1, periodicity=1) + 1**2 + RBF(length_scale=1)","WhiteKernel(noise_level=1e-05) * ExpSineSquared(length_scale=0.0012, periodicity=6.35e+04) + 0.878**2 + RBF(length_scale=31.2)",26.4725,289.9132,5.1451,0.9998,0.6258,-0.7102
"RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1) + WhiteKernel(noise_level=1) * ExpSineSquared(length_scale=1, periodicity=1)","RationalQuadratic(alpha=1e+05, length_scale=31.5) + DotProduct(sigma_0=0.000124) + WhiteKernel(noise_level=1e-05) * ExpSineSquared(length_scale=2.24e+03, periodicity=0.000459)",28.7648,285.3300,5.3633,0.9998,-0.5985,-6.3072
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","DotProduct(sigma_0=0.928) * RationalQuadratic(alpha=0.00208, length_scale=1.26e+03) * ExpSineSquared(length_scale=308, periodicity=2.2e+04) + WhiteKernel(noise_level=1e-05)",52.6663,277.4219,7.2572,0.9996,-1.7626,-11.6287
"RBF(length_scale=1) * WhiteKernel(noise_level=1) + 1**2 + ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=54.5) * WhiteKernel(noise_level=1e-05) + 0.00725**2 + ExpSineSquared(length_scale=4.7, periodicity=1.01)",23.6185,315.0345,4.8599,0.9998,0.9998,0.9998
"ExpSineSquared(length_scale=1, periodicity=1) * 1**2 + WhiteKernel(noise_level=1) * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=14.9, periodicity=0.025) * 3.8**2 + WhiteKernel(noise_level=0.000368) * WhiteKernel(noise_level=1e-05)",23.3803,316.1772,4.8353,0.9998,0.9998,0.9998
"WhiteKernel(noise_level=1) * RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=1) + 1**2","WhiteKernel(noise_level=1.67e-05) * RationalQuadratic(alpha=1, length_scale=1) * DotProduct(sigma_0=57.7) + 1.02**2",128506.2362,-144.4275,358.4777,-0.0477,-0.0334,-0.0026
"WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=4.19, periodicity=78.6) + RationalQuadratic(alpha=3.48e-05, length_scale=1e+05)",42.5766,24.2839,6.5251,0.9997,0.9996,0.9995
"RationalQuadratic(alpha=1, length_scale=1) * 1**2 + WhiteKernel(noise_level=1) + DotProduct(sigma_0=1)","RationalQuadratic(alpha=1e+05, length_scale=31.3) * 0.975**2 + WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=1.55e-05)",28.5913,285.3325,5.3471,0.9998,-0.5823,-6.2335
"WhiteKernel(noise_level=1) + DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1) * 1**2","WhiteKernel(noise_level=1e-05) + DotProduct(sigma_0=363) * RationalQuadratic(alpha=1e+05, length_scale=33.2) * 0.00316**2",27.5967,289.3664,5.2533,0.9998,0.8575,0.3494
1**2 + WhiteKernel(noise_level=1) + RBF(length_scale=1) * DotProduct(sigma_0=1),0.986**2 + WhiteKernel(noise_level=1e-05) + RBF(length_scale=66) * DotProduct(sigma_0=0.000155),54.0405,265.3872,7.3512,0.9996,0.1315,-2.9692
RBF(length_scale=1) * WhiteKernel(noise_level=1) + DotProduct(sigma_0=1),RBF(length_scale=0.257) * WhiteKernel(noise_level=0.106) + DotProduct(sigma_0=1.15),115273.2914,-93.8060,339.5192,0.0602,-0.0203,-0.3260
"ExpSineSquared(length_scale=1, periodicity=1) + 1**2 * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=1.55, periodicity=1.01) + 0.00316**2 * WhiteKernel(noise_level=1e-05)",24.0244,304.0462,4.9015,0.9998,0.9998,0.9998
WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) + RBF(length_scale=1),WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05) + RBF(length_scale=30.1),1577.6406,8.0832,39.7195,0.9871,0.8146,0.1979
"RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e+05, length_scale=1e+05) * ExpSineSquared(length_scale=0.931, periodicity=1) + WhiteKernel(noise_level=1e-05)",24.1991,293.1948,4.9193,0.9998,0.9998,0.9997
WhiteKernel(noise_level=1) + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),WhiteKernel(noise_level=0.0999) + 0.00316**2 * DotProduct(sigma_0=363) + WhiteKernel(noise_level=0.0063),115275.2660,-88.1295,339.5221,0.0602,-0.0191,-0.3205
"RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","RationalQuadratic(alpha=1e+05, length_scale=36.3) + DotProduct(sigma_0=0.000846) * ExpSineSquared(length_scale=464, periodicity=1.01) + WhiteKernel(noise_level=1e-05)",31.6993,287.6924,5.6302,0.9997,0.9373,0.7141
"ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1) + 1**2 * DotProduct(sigma_0=1)","ExpSineSquared(length_scale=0.00401, periodicity=1.82e-05) * WhiteKernel(noise_level=0.106) + 0.00316**2 * DotProduct(sigma_0=363)",115275.2660,-88.1295,339.5221,0.0602,-0.0191,-0.3205
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1) * DotProduct(sigma_0=1) + 1**2","ExpSineSquared(length_scale=4.2, periodicity=78.6) + WhiteKernel(noise_level=1e-05) * DotProduct(sigma_0=1e-05) + 0.238**2",41.9644,24.3736,6.4780,0.9997,0.9996,0.9996
RBF(length_scale=1) + DotProduct(sigma_0=1) * WhiteKernel(noise_level=1) + 1**2,RBF(length_scale=29.7) + DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05) + 0.823**2,1048.4729,8.8060,32.3801,0.9915,0.8785,0.4748
"WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) * 1**2 + RBF(length_scale=1)","WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=0.00186, periodicity=1e+05) * 0.841**2 + RBF(length_scale=5.99e+04)",27.7002,289.9775,5.2631,0.9998,0.6606,-0.5510
