kernel_str,learned_kernel,mse,lml,std,R2_tr,R2,R2_test
"RationalQuadratic(alpha=1, length_scale=1) + Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","RationalQuadratic(alpha=0.0134, length_scale=74.1) + Matern(length_scale=1.11e+04, nu=1.5) * ExpSineSquared(length_scale=0.44, periodicity=0.999) + RBF(length_scale=125)",2324.1485,244.8247,48.2094,0.9995,0.9604,-3.3291
"RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=85) * RationalQuadratic(alpha=0.0134, length_scale=74.3) + ExpSineSquared(length_scale=1e+05, periodicity=1.12) * ExpSineSquared(length_scale=1e+05, periodicity=1.12)",2332.6655,237.8159,48.2977,0.9995,0.9329,-6.3531
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=1e+05, periodicity=1.09) * ExpSineSquared(length_scale=1e+05, periodicity=1.09) + RBF(length_scale=85.1) * RationalQuadratic(alpha=0.0134, length_scale=74.3)",2332.5848,237.8159,48.2968,0.9995,0.9329,-6.3518
"1**2 + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","3.3**2 + RBF(length_scale=98.6) * ExpSineSquared(length_scale=0.985, periodicity=1) + RationalQuadratic(alpha=0.139, length_scale=43.4)",2274.7606,242.4250,47.6945,0.9995,0.9185,-7.9351
"1**2 * RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","217**2 * RationalQuadratic(alpha=1e-05, length_scale=9.97e+04) * ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1.01)",2200.4274,261.6504,46.9087,0.9995,0.9996,0.9899
"ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=22, periodicity=1.03) + ExpSineSquared(length_scale=22, periodicity=1.03) + RationalQuadratic(alpha=1e+05, length_scale=145) * RationalQuadratic(alpha=1e+05, length_scale=145)",2344.7139,260.6597,48.4222,0.9995,0.9882,-0.2688
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1)","ExpSineSquared(length_scale=15.6, periodicity=0.508) * RBF(length_scale=1e+05) + RationalQuadratic(alpha=0.000602, length_scale=1e+05) + DotProduct(sigma_0=0.000153)",2263.8493,285.2177,47.5799,0.9995,0.9996,0.9901
"ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=20, periodicity=31.7) * RationalQuadratic(alpha=1e+05, length_scale=204) + ExpSineSquared(length_scale=0.0175, periodicity=4.01e+04)",2274.9757,263.8150,47.6967,0.9995,0.9917,0.1202
"ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) * Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=0.0375, periodicity=1) + RBF(length_scale=1e+05) * Matern(length_scale=75.2, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)",2374.9388,237.8450,48.7333,0.9995,0.8840,-11.7342
"ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=167)",6498.5415,224.0999,80.6135,0.9985,0.9943,0.4551
"RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1)","RBF(length_scale=109) + RationalQuadratic(alpha=0.0849, length_scale=49.4) + ExpSineSquared(length_scale=693, periodicity=6.25e-05) * WhiteKernel(noise_level=1e-05)",2277.3842,239.3122,47.7219,0.9995,0.9048,-9.4472
"RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1) * ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","RationalQuadratic(alpha=0.312, length_scale=36) + WhiteKernel(noise_level=1e-05) * ExpSineSquared(length_scale=55.1, periodicity=2.86) * RBF(length_scale=0.000146)",2296.7619,223.3854,47.9245,0.9995,0.7457,-26.9425
"WhiteKernel(noise_level=1) * RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","WhiteKernel(noise_level=1e-05) * RationalQuadratic(alpha=1.52e+04, length_scale=0.293) * ExpSineSquared(length_scale=0.875, periodicity=225) + RBF(length_scale=107)",6605.4147,204.0052,81.2737,0.9985,0.9855,-0.5046
"RBF(length_scale=1) * RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=111) * RBF(length_scale=1e+05) + RationalQuadratic(alpha=8.19e+04, length_scale=204) * ExpSineSquared(length_scale=20, periodicity=31.7)",2274.9747,263.8150,47.6967,0.9995,0.9917,0.1203
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1) + WhiteKernel(noise_level=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=20.3, periodicity=31.9) * RBF(length_scale=113) + WhiteKernel(noise_level=1e-05) * RationalQuadratic(alpha=5.77e-05, length_scale=3.56e-05)",2350.2706,247.1961,48.4796,0.9995,0.9856,-0.5509
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1) + 1**2 * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=18.6, periodicity=9.43e+04) * ExpSineSquared(length_scale=1.82e+04, periodicity=5.03e+03) + 17.7**2 * ExpSineSquared(length_scale=0.0632, periodicity=1e+05)",6597.7047,236.0699,81.2263,0.9985,0.9990,0.9750
"RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) * RBF(length_scale=1)","RationalQuadratic(alpha=0.0132, length_scale=74.3) + ExpSineSquared(length_scale=0.447, periodicity=1) + RBF(length_scale=177) * RBF(length_scale=177)",2324.6371,244.8246,48.2145,0.9995,0.9605,-3.3139
"RationalQuadratic(alpha=1, length_scale=1) * RBF(length_scale=1) * RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1)","RationalQuadratic(alpha=0.0155, length_scale=1.07e+03) * RBF(length_scale=105) * RBF(length_scale=105) + ExpSineSquared(length_scale=1.1, periodicity=0.992)",2229.9330,240.5509,47.2222,0.9995,0.9561,-3.7988
"RationalQuadratic(alpha=1, length_scale=1) + RBF(length_scale=1) + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)","RationalQuadratic(alpha=0.0133, length_scale=74.2) + RBF(length_scale=127) + RBF(length_scale=127) * ExpSineSquared(length_scale=1, periodicity=0.999)",2324.3187,244.8247,48.2112,0.9995,0.9603,-3.3324
"WhiteKernel(noise_level=1) + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + RBF(length_scale=112) * ExpSineSquared(length_scale=20.3, periodicity=0.508) * RationalQuadratic(alpha=1e-05, length_scale=1.96e-05)",2188.5637,244.1187,46.7821,0.9995,0.9849,-0.6353
"RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","RationalQuadratic(alpha=0.0134, length_scale=74.1) + ExpSineSquared(length_scale=0.44, periodicity=0.999) * Matern(length_scale=7.1e+03, nu=1.5) + RBF(length_scale=125)",2324.1591,244.8247,48.2095,0.9995,0.9604,-3.3284
"1**2 + ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","3.47**2 + ExpSineSquared(length_scale=1.52, periodicity=1.35) * ExpSineSquared(length_scale=1.52, periodicity=1.35) + RationalQuadratic(alpha=1e+05, length_scale=102)",2283.8348,240.5040,47.7895,0.9995,0.9894,-0.1371
"RationalQuadratic(alpha=1, length_scale=1) * RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","RationalQuadratic(alpha=0.136, length_scale=2.57e+03) * RBF(length_scale=100) + ExpSineSquared(length_scale=3.23, periodicity=1.02) + Matern(length_scale=312, nu=1.5)",2207.6694,258.0429,46.9858,0.9995,0.9845,-0.6775
"RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=3.08e+03) * ExpSineSquared(length_scale=320, periodicity=0.0195) + DotProduct(sigma_0=0.000837) * ExpSineSquared(length_scale=3.34e+03, periodicity=0.000189)",3636.4751,269.2264,60.3032,0.9992,0.9994,0.9854
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=38.3, periodicity=0.00311) + Matern(length_scale=1.3e+03, nu=1.5) * ExpSineSquared(length_scale=17.4, periodicity=0.337) + RationalQuadratic(alpha=213, length_scale=104)",2318.7960,261.5352,48.1539,0.9995,0.9891,-0.1735
"WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1) * RBF(length_scale=1)","WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=0.00916, periodicity=9.9e+04) + RationalQuadratic(alpha=0.0154, length_scale=72.4) * RBF(length_scale=145)",2315.2799,242.3220,48.1174,0.9995,0.9575,-3.6456
"RBF(length_scale=1) + DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=1.97e+03) + DotProduct(sigma_0=0.00679) * ExpSineSquared(length_scale=1.28e+03, periodicity=0.00297) * ExpSineSquared(length_scale=236, periodicity=0.00149)",3569.4050,261.3358,59.7445,0.9992,0.9994,0.9840
"ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=1e+05, periodicity=1.22) + RBF(length_scale=184) * ExpSineSquared(length_scale=20.2, periodicity=1.03) + RationalQuadratic(alpha=8.55e+04, length_scale=111)",2270.8443,266.1728,47.6534,0.9995,0.9930,0.2614
"Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1) * RBF(length_scale=1)","Matern(length_scale=74.8, nu=1.5) * ExpSineSquared(length_scale=121, periodicity=1e+05) + RationalQuadratic(alpha=0.0582, length_scale=9.33e+03) * RBF(length_scale=140)",2368.2733,237.8461,48.6649,0.9995,0.8831,-11.8301
"RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","RationalQuadratic(alpha=0.0104, length_scale=77.6) * ExpSineSquared(length_scale=0.628, periodicity=997) + ExpSineSquared(length_scale=3.53e+04, periodicity=0.000493) + RBF(length_scale=122)",2337.0148,244.5680,48.3427,0.9995,0.9612,-3.2369
"Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=2.23e+04, nu=1.5) * ExpSineSquared(length_scale=0.441, periodicity=0.999) + RBF(length_scale=125) + RationalQuadratic(alpha=0.0134, length_scale=74.1)",2324.0348,244.8247,48.2082,0.9995,0.9604,-3.3285
"ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1) * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=0.674, periodicity=1.04e+03) + RBF(length_scale=0.109) * RationalQuadratic(alpha=0.527, length_scale=0.0464) * WhiteKernel(noise_level=1e-05)",6602.6791,204.3975,81.2569,0.9985,0.9851,-0.5511
"WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1)","WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=0.00884, periodicity=1) + RBF(length_scale=146) * RationalQuadratic(alpha=0.0154, length_scale=72.4)",2315.2447,242.3220,48.1170,0.9995,0.9575,-3.6443
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1) * Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=20, periodicity=31.7) * RBF(length_scale=204) * Matern(length_scale=4.53e+04, nu=1.5) + RationalQuadratic(alpha=1e+05, length_scale=111)",2274.9660,263.8151,47.6966,0.9995,0.9917,0.1204
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5) + RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=3.23, periodicity=1.02) + Matern(length_scale=312, nu=1.5) + RBF(length_scale=100) * RationalQuadratic(alpha=0.134, length_scale=2.17e+03)",2207.6774,258.0429,46.9859,0.9995,0.9845,-0.6771
"RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","RBF(length_scale=102) * RationalQuadratic(alpha=0.0144, length_scale=581) * ExpSineSquared(length_scale=23.3, periodicity=1e-05) + Matern(length_scale=363, nu=1.5)",2232.6224,259.1105,47.2506,0.9995,0.9843,-0.6929
"ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1) + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=0.00117) + RBF(length_scale=1e+05) * ExpSineSquared(length_scale=1, periodicity=1)",6659.9433,237.4079,81.6085,0.9985,0.9990,0.9764
"1**2 * ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","2.83**2 * ExpSineSquared(length_scale=1.46, periodicity=1.01) + ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=70.2)",2229.3978,242.3411,47.2165,0.9995,0.9613,-3.2302
"RBF(length_scale=1) * WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=2.92e-05) * WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=0.572, periodicity=827) + ExpSineSquared(length_scale=284, periodicity=3.49e+03)",6369.0714,213.9511,79.8065,0.9985,0.9762,-1.5332
"RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","RBF(length_scale=148) * RationalQuadratic(alpha=0.0156, length_scale=72.3) + ExpSineSquared(length_scale=0.0594, periodicity=1) + WhiteKernel(noise_level=1e-05)",2315.6097,242.3204,48.1208,0.9995,0.9575,-3.6451
"RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","RationalQuadratic(alpha=474, length_scale=112) * ExpSineSquared(length_scale=6.4e+03, periodicity=2.62) + ExpSineSquared(length_scale=20, periodicity=31.7) * ExpSineSquared(length_scale=0.0128, periodicity=1e+05)",2274.9605,263.8141,47.6965,0.9995,0.9917,0.1205
"RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1) + RBF(length_scale=1)","RBF(length_scale=127) * ExpSineSquared(length_scale=1, periodicity=0.999) + RationalQuadratic(alpha=0.0133, length_scale=74.2) + RBF(length_scale=127)",2324.3187,244.8247,48.2112,0.9995,0.9603,-3.3324
"RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * 1**2 + ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=896) + ExpSineSquared(length_scale=0.358, periodicity=1) * 18.4**2 + ExpSineSquared(length_scale=0.585, periodicity=1)",6598.0074,236.0395,81.2281,0.9985,0.9990,0.9751
"RBF(length_scale=1) * WhiteKernel(noise_level=1) + ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=0.00169) * WhiteKernel(noise_level=1e-05) + ExpSineSquared(length_scale=0.767, periodicity=844) * ExpSineSquared(length_scale=40.8, periodicity=110)",6418.4326,205.3149,80.1151,0.9985,0.9756,-1.6026
"Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=343, nu=1.5) * RBF(length_scale=287) + ExpSineSquared(length_scale=20.9, periodicity=0.0185) * RationalQuadratic(alpha=8.77e+03, length_scale=165)",2219.0651,261.1848,47.1070,0.9995,0.9900,-0.0754
"RationalQuadratic(alpha=1, length_scale=1) * RBF(length_scale=1) + RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1)","RationalQuadratic(alpha=0.0126, length_scale=75) * RBF(length_scale=82.7) + RBF(length_scale=6.37e+04) + ExpSineSquared(length_scale=24.5, periodicity=1.69e+04)",2338.7306,239.3046,48.3604,0.9995,0.9384,-5.7458
"DotProduct(sigma_0=1) * RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=0.308) * RBF(length_scale=1e+05) + ExpSineSquared(length_scale=15.6, periodicity=31.6) + RationalQuadratic(alpha=51.9, length_scale=3.76e+04)",2262.8188,283.3050,47.5691,0.9995,0.9996,0.9902
"Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)","Matern(length_scale=273, nu=1.5) + ExpSineSquared(length_scale=2.65e+03, periodicity=8.03) + RBF(length_scale=164) * ExpSineSquared(length_scale=20.4, periodicity=31.7)",2201.6739,261.7888,46.9220,0.9995,0.9892,-0.1549
"RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=5.82e+04) + ExpSineSquared(length_scale=9.84e+04, periodicity=1e-05) * DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=1.37e+03, periodicity=0.000314)",6611.2316,237.7322,81.3095,0.9985,0.9990,0.9766
"ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1) + DotProduct(sigma_0=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=15.6, periodicity=1.03) * RationalQuadratic(alpha=6.68e-05, length_scale=1.62e+04) + DotProduct(sigma_0=1e-05) * RBF(length_scale=1e+05)",2262.7096,283.6723,47.5679,0.9995,0.9996,0.9902
"RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) * 1**2","RBF(length_scale=104) + RationalQuadratic(alpha=38.3, length_scale=3.96e+03) * ExpSineSquared(length_scale=2.47e+03, periodicity=0.0384) * 202**2",2231.6635,275.4100,47.2405,0.9995,0.9994,0.9665
"RationalQuadratic(alpha=1, length_scale=1) + RBF(length_scale=1) + 1**2 * ExpSineSquared(length_scale=1, periodicity=1)","RationalQuadratic(alpha=0.00414, length_scale=85.7) + RBF(length_scale=569) + 10.5**2 * ExpSineSquared(length_scale=0.0358, periodicity=1e+05)",2413.4084,254.1644,49.1265,0.9994,0.9990,0.9184
"1**2 * RationalQuadratic(alpha=1, length_scale=1) + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)","84**2 * RationalQuadratic(alpha=343, length_scale=5.01e+03) + RBF(length_scale=9.22e+04) * ExpSineSquared(length_scale=61, periodicity=0.00139)",2516.1177,273.9555,50.1609,0.9994,0.9996,0.9895
"1**2 * ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","17.7**2 * ExpSineSquared(length_scale=0.0632, periodicity=1e+05) * ExpSineSquared(length_scale=1.14e+04, periodicity=7.96e+04) + ExpSineSquared(length_scale=148, periodicity=2.51e+04)",6597.7047,236.0699,81.2263,0.9985,0.9990,0.9750
"ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=0.999, periodicity=1) * Matern(length_scale=74.8, nu=1.5) + RationalQuadratic(alpha=0.00122, length_scale=1.61e+04) * RBF(length_scale=140)",2368.2609,237.8461,48.6648,0.9995,0.8831,-11.8306
"RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) + 1**2 * ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=999) + ExpSineSquared(length_scale=1.37, periodicity=5.68e+03) + 17.6**2 * ExpSineSquared(length_scale=0.0631, periodicity=1e+05)",6597.6832,236.0712,81.2261,0.9985,0.9990,0.9750
"RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1)","RBF(length_scale=127) + ExpSineSquared(length_scale=1, periodicity=0.999) * RBF(length_scale=127) + RationalQuadratic(alpha=0.0133, length_scale=74.2)",2324.3187,244.8247,48.2112,0.9995,0.9603,-3.3324
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1.87e-05) + ExpSineSquared(length_scale=15.5, periodicity=1e-05) + RBF(length_scale=3.49e+04) * RationalQuadratic(alpha=15, length_scale=1.79e+03)",2263.6699,285.2028,47.5780,0.9995,0.9996,0.9901
"RationalQuadratic(alpha=1, length_scale=1) * RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1)","RationalQuadratic(alpha=173, length_scale=1e+05) * RBF(length_scale=1e+05) * ExpSineSquared(length_scale=15.6, periodicity=0.969) + DotProduct(sigma_0=1e-05)",2263.8410,285.5651,47.5798,0.9995,0.9996,0.9901
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","DotProduct(sigma_0=0.000105) + RationalQuadratic(alpha=0.00333, length_scale=86.6) * ExpSineSquared(length_scale=1.44e+04, periodicity=6.41e-05) + RBF(length_scale=1e+05)",2442.6700,254.3930,49.4234,0.9994,0.9995,0.9754
"ExpSineSquared(length_scale=1, periodicity=1) + DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=259, periodicity=1e-05) + DotProduct(sigma_0=0.0329) * RationalQuadratic(alpha=4.5e+04, length_scale=1e+05) * RBF(length_scale=1e+05)",6620.7580,236.0436,81.3680,0.9985,0.9990,0.9734
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=7.09e+04, periodicity=9.07e+03) * RBF(length_scale=103) * ExpSineSquared(length_scale=2.61e+04, periodicity=5.56) + ExpSineSquared(length_scale=15.9, periodicity=31.7)",2345.3016,259.1312,48.4283,0.9995,0.9874,-0.3574
"RBF(length_scale=1) * Matern(length_scale=1, nu=1.5) * RationalQuadratic(alpha=1, length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=147) * Matern(length_scale=539, nu=1.5) * RationalQuadratic(alpha=0.0121, length_scale=75.5) + ExpSineSquared(length_scale=0.289, periodicity=1)",2324.7004,242.3549,48.2151,0.9995,0.9595,-3.4197
"RationalQuadratic(alpha=1, length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","RationalQuadratic(alpha=1.16e-05, length_scale=1.75e+04) * ExpSineSquared(length_scale=0.617, periodicity=0.999) + ExpSineSquared(length_scale=16.1, periodicity=0.969)",2254.4203,259.0007,47.4807,0.9995,0.9783,-1.3606
"RationalQuadratic(alpha=1, length_scale=1) * WhiteKernel(noise_level=1) + RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1)","RationalQuadratic(alpha=9.49e+04, length_scale=0.106) * WhiteKernel(noise_level=1e-05) + RBF(length_scale=167) + ExpSineSquared(length_scale=0.00675, periodicity=1e+05)",6523.3823,219.2710,80.7675,0.9985,0.9919,0.1883
"RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=108) * ExpSineSquared(length_scale=20.6, periodicity=0.0912) * Matern(length_scale=5.65e+03, nu=1.5) + ExpSineSquared(length_scale=9.17e+04, periodicity=7.61e+04)",2347.5482,255.6170,48.4515,0.9995,0.9885,-0.2296
"RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * 1**2 * ExpSineSquared(length_scale=1, periodicity=1)","RBF(length_scale=997) + ExpSineSquared(length_scale=0.136, periodicity=8.92e+04) * 34.4**2 * ExpSineSquared(length_scale=531, periodicity=31.6)",2256.4224,283.1964,47.5018,0.9995,0.9996,0.9901
"RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) * 1**2 + RationalQuadratic(alpha=1, length_scale=1)","RBF(length_scale=570) * ExpSineSquared(length_scale=1e+05, periodicity=0.0235) * 10.6**2 + RationalQuadratic(alpha=0.00415, length_scale=85.7)",2413.4347,254.1646,49.1267,0.9994,0.9990,0.9183
"RationalQuadratic(alpha=1, length_scale=1) + RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1) + 1**2","RationalQuadratic(alpha=0.00512, length_scale=2.39e+03) + RBF(length_scale=108) * ExpSineSquared(length_scale=21, periodicity=0.0401) + 49.4**2",2346.1095,256.4130,48.4367,0.9995,0.9906,0.0007
"RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","RBF(length_scale=120) + ExpSineSquared(length_scale=31.2, periodicity=31.7) * ExpSineSquared(length_scale=18.2, periodicity=31.7) + RationalQuadratic(alpha=1e+05, length_scale=120)",2266.4731,268.4852,47.6075,0.9995,0.9923,0.1781
"1**2 + ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","3.49**2 + ExpSineSquared(length_scale=0.233, periodicity=6.83e+04) * ExpSineSquared(length_scale=1e+05, periodicity=1.59) * RBF(length_scale=17.8)",2273.4984,225.0223,47.6812,0.9995,0.5922,-43.8301
